nama,barcode,kategori,satuan,stok,harga_beli,harga_jual,stok_minimum,stok_kritis,supplier,gambar
Beras Medium 5kg,8991234500015,sembako,karung,20,55000,62000,10,3,UD Maju,https://contoh.com/gambar/beras.jpg
Gula Pasir 1kg,8991234500022,sembako,bungkus,15,13500,15000,8,2,Distributor Kupang,
Minyak Goreng 1L,8991234500039,sembako,botol,24,16000,18000,10,3,UD Maju,
Tepung Terigu 1kg,8991234500046,sembako,bungkus,18,11000,13000,8,2,Distributor Kupang,
Indomie Goreng,089686010947,mie,pcs,50,2800,3500,20,5,Grosir Baa,
Teh Botol 350ml,8992761111118,minuman,botol,36,3000,4000,12,4,Grosir Baa,
Kopi Sachet,,minuman,renceng,30,9000,11000,10,3,Grosir Baa,
Rokok Surya 16,8997011710018,rokok,bungkus,40,27000,29000,15,5,Agen Rokok Rote,
Gas LPG 3kg,,gas,tabung,10,18000,22000,5,2,Pangkalan Gas Baa,
Sabun Mandi,8999999036007,kebutuhan,pcs,25,3500,5000,10,3,Grosir Baa,
Biskuit Kelapa,8990111222333,snack,bungkus,40,3500,5000,15,5,Grosir Baa,
